"BehaviorSpace results (NetLogo 6.0.4)"
"behaviour-field7.nlogo"
"Sensitivity-env"
"07/17/2019 13:31:49:975 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","initial-pro","networks","construct-non","rebound","mutate-on?","network-param","initial-non","network-type","niche-construction","random-seed?","social-learning","asocial-learning","rseed","mu","number-of-agents","construct-pro","pro-amount","[step]","mean [pro-env] of turtles","mean [non-env] of turtles","standard-deviation [pro-env] of turtles","standard-deviation [non-env] of turtles","pro-behavior","non-behavior"
"51","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.20136504939910968","0.8009916636697055","0.05222851486431884","0.049536392430533614","0","300"
"52","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.19647686972731104","0.8000004973953623","0.053603863338714024","0.05152614761169774","0","300"
"54","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.20238974352950267","0.801393211902583","0.05394631344529358","0.04785081872857541","0","300"
"53","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.1980688366958656","0.7960742704035775","0.047885029452090076","0.049303223053507074","0","300"
"55","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.196772055846857","0.7969576930955914","0.05273215549159002","0.050605275460100435","0","300"
"56","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.19866117076208575","0.7971867019787583","0.04892463119484782","0.055274200268378086","0","300"
"57","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.2001780525794262","0.8001801477469845","0.05044954052475153","0.04737396149875959","0","300"
"58","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.199290607238325","0.8027017585128249","0.049799776602696154","0.04865746968129786","0","300"
"59","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.2004203091814291","0.7977799983143157","0.049022457404020905","0.04934677519364407","0","300"
"60","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.1969295530070135","0.8006436081349472","0.050644494501564545","0.049117785920221146","0","300"
"62","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.1991550035939344","0.8027738946651243","0.048527891351238625","0.050187980465086005","0","300"
"63","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.20585044924514234","0.8010218047934935","0.05163125710861693","0.053781828709251335","0","300"
"64","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.20038312411033593","0.8061122369607119","0.049979415502315695","0.04982249970359927","0","300"
"61","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.20152134235692165","0.8005274695676182","0.05225027510098628","0.04959264256888572","0","300"
"67","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.19861985752734937","0.799877649489639","0.051103916193118076","0.04889733454591483","0","300"
"66","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.19780271236023378","0.8034900264070687","0.04843257143612622","0.0501825669963696","0","300"
"65","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.19919519143521774","0.7981537404748554","0.05029801196551191","0.049673882793146086","0","300"
"68","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.19912363109407757","0.8042540075990782","0.04815783400364504","0.04903269066789414","0","300"
"69","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.2015989057721788","0.8023049231434521","0.048206676843976774","0.05068866094338553","0","300"
"70","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.19921292498485663","0.7993527592058994","0.04876070407748979","0.047163522145452476","0","300"
"71","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.20744337619783212","0.8018973752978511","0.049999954865785984","0.04816069855921527","0","300"
"72","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.1967715997380462","0.8002174203330404","0.048416619432022336","0.047753236459793395","0","300"
"73","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.2017837932622467","0.8000906305928517","0.047720385040500995","0.04985783327828716","0","300"
"74","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.2009015252986294","0.7965484462000516","0.05013530444955815","0.052035222176989124","0","300"
"75","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.2029932249517448","0.8002248470716021","0.048534558417546426","0.052899202947071275","0","300"
"78","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.20051233609004324","0.8003241169582234","0.04814266529997185","0.04943362761464756","0","300"
"77","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.1989520127808965","0.7988633653864847","0.05128637592266044","0.05309669254708739","0","300"
"76","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0","2000","0.1999442489789763","0.7967882768200409","0.05284767553088195","0.04970016913122581","0","300"
