"BehaviorSpace results (NetLogo 6.0.4)"
"affordance-landscape.nlogo"
"Stylized batch"
"07/30/2019 17:17:54:818 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","initial-pro","networks","construct-non","mutate-on?","network-param","initial-non","network-type","niche-construction","random-seed?","social-learning","asocial-learning","rseed","mu","number-of-agents","construct-pro","pro-amount","[step]","mean [pro-env] of turtles","mean [non-env] of turtles","standard-deviation [pro-env] of turtles","standard-deviation [non-env] of turtles","pro-behavior","non-behavior"
"99","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.03","2000","0.2021724898842082","0.7998471326640327","0.04238289235060537","0.05353399549278159","2","298"
"100","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.03","2000","0.19755516387242372","0.7978906917948445","0.048395979247866865","0.05287319996088919","2","298"
"101","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.03","2000","0.20315148875008276","0.8009307815673193","0.05008672943762176","0.05055798851071514","1","299"
"102","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.03","2000","0.1955125943224055","0.8016565876028827","0.050458415176096845","0.05123148841598477","5","295"
"104","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.03","2000","0.19570972397828448","0.8024592721561903","0.0476155562946703","0.049892317248751664","4","296"
"105","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.03","2000","0.20097843646469593","0.7965690408775947","0.04639346909530331","0.05009570243462926","3","297"
"106","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.03","2000","0.19644209160087703","0.8022634010932785","0.04922951782270075","0.05245758987751995","3","297"
"107","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.03","2000","0.20072357086227147","0.8021204343900018","0.047577270906724325","0.04905060325850517","2","298"
"103","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.03","2000","0.20606146860166333","0.7961997424308263","0.051175417186906845","0.05313860267150292","5","295"
"108","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.03","2000","0.1968258181789121","0.8004942593883478","0.05310525174676379","0.04885571277389664","1","299"
"109","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.03","2000","0.19863914916420447","0.8025940663668724","0.05356477733720749","0.05469310327724491","4","296"
"110","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.03","2000","0.20038657796678264","0.8036043217925","0.05407546505959263","0.052837290418161195","2","298"
"111","0.5","true","10","false","5","0.5","KE","false","false","7.0E-5","5.0E-5","74","0.9","300","10","0.03","2000","0.1969101771973797","0.7984856427979724","0.05030947600651985","0.05062973236682521","3","297"
