"BehaviorSpace results (NetLogo 6.0.4)"
"behaviour-field7.nlogo"
"Sensitivity-pro"
"07/22/2019 12:01:42:831 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","initial-pro","networks","construct-non","rebound","mutate-on?","network-param","initial-non","network-type","niche-construction","random-seed?","social-learning","asocial-learning","rseed","mu","number-of-agents","construct-pro","pro-amount","[step]","mean [pro-env] of turtles","mean [non-env] of turtles","standard-deviation [pro-env] of turtles","standard-deviation [non-env] of turtles","pro-behavior","non-behavior"
"75","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20070663955551218","0.7989616892838988","0.05292465210028799","0.049210428308193395","50","250"
"69","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.1990566990496163","0.7960715640452286","0.05036058431777481","0.05084743129773789","51","249"
"71","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.1965924635010914","0.8003449649368852","0.04902551884621295","0.05091300820851809","42","258"
"70","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20443889794396652","0.7970605263528011","0.05129372788907102","0.05110113268939746","52","248"
"76","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19945933303507332","0.7915978753808147","0.054280278889742926","0.05254785026371851","49","251"
"72","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20076299117548774","0.7974481919653554","0.04927531030875044","0.05521071285555546","52","248"
"77","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.1961674533938708","0.7984907773599341","0.046233127714700006","0.047863751175177466","53","247"
"78","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19999484874207452","0.7995822417099415","0.04352211230610361","0.04939026835935089","47","253"
"79","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20099823396669764","0.8034502429323673","0.048619377153157194","0.05015146311001871","45","255"
"80","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20217985276541867","0.8002253732158496","0.051569492284172916","0.0490161102786921","63","237"
"81","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.2003792376541286","0.797405992428817","0.04858319815521168","0.05275430656656915","52","248"
"83","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20206610797600033","0.7986401091877383","0.04628517397012035","0.04952520953130683","51","249"
"82","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.1992933298089647","0.7975847646449684","0.048430464534549605","0.05403700755643097","51","249"
"84","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19783281648940756","0.794138862560388","0.04755129974624247","0.04658669246405578","52","248"
"85","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20115969276891987","0.7995802678134138","0.053192682807312534","0.04655539965702444","51","249"
"89","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.2020921796706264","0.7940635191118458","0.053190108535963204","0.05087797739816109","50","250"
"91","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19963730203336078","0.8006713355105747","0.05018910237736553","0.04759585697221076","55","245"
"86","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20018573486833335","0.7976031477890211","0.051943128758602346","0.04956061099085257","43","257"
"87","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.201797371897563","0.7944459970087928","0.05137051303568041","0.05070214065591475","46","254"
"95","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19955099514398","0.7994447209584703","0.0502978591419414","0.052738729995404576","56","244"
"88","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20557032232243838","0.7926029759707831","0.04813400526366164","0.051937378217516206","78","222"
"99","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19943554881857303","0.8057808352816409","0.048889626219280724","0.054280074624755016","49","251"
"90","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20037239200362575","0.7917505162924388","0.04952446930983588","0.05096703553990538","51","249"
"92","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20010963322000977","0.799192375899806","0.04704198419252128","0.051822662439049726","46","254"
"94","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20310001228110144","0.7957519908851128","0.05012251457114133","0.05196641877667924","51","249"
"93","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19524331159362107","0.7925078699550429","0.049671562127074485","0.05640612059937845","49","251"
"101","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.2011849351292839","0.7993766232386915","0.05044368562153995","0.050862731510778775","47","253"
"102","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19377504027936","0.7968941987339988","0.04908148125768569","0.05125314380481218","53","247"
"96","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20075636506316613","0.793491839595463","0.04829643471136035","0.04977790237411285","54","246"
"97","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20264310813542327","0.7935736413381436","0.04854758196997918","0.04973680616665005","51","249"
"103","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20053514476169013","0.7935514095979608","0.04806963972650332","0.048893018966856015","49","251"
"98","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20214074394361117","0.7978856941203993","0.049271354231832806","0.05105562014605598","53","247"
"100","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.1969755968581811","0.7981754559910555","0.05176403759207947","0.04976779535041001","39","261"
"110","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19969621996891163","0.7952432111241052","0.046680250222146204","0.050719363492106255","50","250"
"111","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.2038892791820715","0.7984872522366002","0.04816624916155881","0.05111482280617278","53","247"
"104","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19611599747631447","0.7955293273871791","0.049434626275015714","0.054035482141386426","52","248"
"106","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19700545057040214","0.7955321036090471","0.049924364204935685","0.05065777680434082","47","253"
"105","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20010219467766965","0.7973865267197634","0.04689473367621089","0.05131479428506113","53","247"
"107","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20261425189292057","0.7968284408838079","0.05140797479003253","0.05035385442037883","42","258"
"109","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19809307037308774","0.79779239650884","0.048400463173068245","0.05035475966612663","60","240"
"114","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.1962521971367155","0.7972470431959209","0.05123195132348509","0.05398274057705697","54","246"
"108","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20079314237248924","0.7963828331646233","0.05038724581931149","0.04689363976225331","34","266"
"112","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20205017405430398","0.7983289412958756","0.050386000982427154","0.05219000447142005","40","260"
"116","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20031439351964897","0.7940622344626767","0.049474202930306174","0.05020865707920375","49","251"
"113","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20109507819299718","0.7968774336825011","0.04948089140029496","0.0519443644710588","41","259"
"115","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19766137636804412","0.7955487742938194","0.05087011267953848","0.051836655017494584","58","242"
"121","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.1937793201682675","0.7987878210315328","0.05199865905246889","0.05035117431461568","39","261"
"122","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19718823959224363","0.7962073670346353","0.051065852561842096","0.05054221510495462","35","265"
"117","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19817866483991123","0.7907427050470908","0.047727230597680984","0.054012814832749646","41","259"
"125","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.202195201708792","0.7987678066827054","0.0491389979101252","0.04958810195379303","60","240"
"118","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19773637771591387","0.7965080383461899","0.04853692209665362","0.050689495444917264","49","251"
"120","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20273939679062913","0.7962491787293633","0.04995274075318781","0.05218816931679898","51","249"
"119","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20192325817810178","0.7948995720660097","0.05035991549257816","0.055832936141776625","44","256"
"123","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20401766498638516","0.7932073884124005","0.0474901820134548","0.051165486597654464","45","255"
"124","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20245972789549202","0.8008481886887523","0.05158968029481103","0.04875384025533343","53","247"
"129","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19807308609908186","0.7956988973838275","0.04889409014836291","0.05198915964122535","50","250"
"126","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20111342824063633","0.7979365545576448","0.05358242711302083","0.05079669804784861","49","251"
"128","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19986931193901558","0.796367170608703","0.04778025911093242","0.05011585920106159","52","248"
"127","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.19552548913621723","0.7910072837287592","0.05023662947146484","0.05138626872258548","58","242"
"135","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20067524788129512","0.7970032864577404","0.05045895422736938","0.05031445191179592","59","241"
"130","0.1","true","5","0","false","5","0.5","KE","true","false","7.0E-5","5.0E-5","74","0.9","300","5","0.5","2000","0.20419055239815773","0.7957297259412505","0.04869917742264125","0.05279553897284832","55","245"
