"BehaviorSpace results (NetLogo 6.0.4)"
"behaviour-field7.nlogo"
"Sensitivity-asoc"
"07/22/2019 09:33:27:297 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","initial-pro","networks","construct-non","rebound","mutate-on?","network-param","initial-non","network-type","niche-construction","random-seed?","social-learning","asocial-learning","rseed","mu","number-of-agents","construct-pro","pro-amount","[step]","mean [pro-env] of turtles","mean [non-env] of turtles","standard-deviation [pro-env] of turtles","standard-deviation [non-env] of turtles","pro-behavior","non-behavior"
"42","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.5914200196387753","0.422208372065517","0.22690848733682498","0.22559592353159236","177","123"
"39","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.5328360381206956","0.45989695509191153","0.20338488477495825","0.19693371028848378","170","130"
"43","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.273161969966489","0.7308259975863256","0.11590669780815639","0.10732128568047702","76","224"
"44","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.7243656802810543","0.2809211277575393","0.13470659531185225","0.12425795160100472","232","68"
"45","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.4056012762364753","0.6028651225246815","0.1809350205741561","0.1910369165575858","111","189"
"46","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.6143293658745184","0.3798779992369714","0.1864586818708679","0.18043207281245452","195","105"
"47","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.4972436647197571","0.49147661319664904","0.21601906052864053","0.20639090921853662","140","160"
"48","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.5905224451386191","0.39857011255459784","0.20696583935227864","0.20305039622268548","174","126"
"49","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.43453241552681693","0.5690151188943302","0.18410102136525017","0.18589094816492732","132","168"
"50","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.4390841066436935","0.5488787410359454","0.2009799005404108","0.19950384894271644","149","151"
"52","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.4678390837625786","0.5349077283799945","0.21606819438047953","0.2134561901901005","146","154"
"51","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.3371001927603145","0.6591214136841805","0.17544187552528803","0.16871124013296898","108","192"
"53","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.27839519412098224","0.7076853744054216","0.11098754758709992","0.12479700240794589","90","210"
"54","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.6222355169453233","0.37873177780475337","0.18618349536062673","0.17828792399165003","195","105"
"55","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.5642628292625685","0.430595091144788","0.23550866821969654","0.2301814276095394","174","126"
"56","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.4252001409247812","0.5567495055216618","0.18671781358102182","0.2013520324681622","123","177"
"58","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.44371031947559925","0.5570316571811523","0.1997566580026085","0.2103291523722988","127","173"
"57","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.5716930884546453","0.4242046944149066","0.20180793373023156","0.19500592799601546","159","141"
"59","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.5676349377109343","0.44632022554751494","0.20257519669428298","0.19193547832448765","157","143"
"60","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.3879961452912543","0.6186644913764214","0.19325165695126056","0.19656239145384236","108","192"
"61","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.489256026571006","0.47936605965476464","0.2144477427977421","0.21016997952014713","151","149"
"62","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.2697040151499419","0.7331888479995795","0.10544912406405094","0.11267143724277288","72","228"
"64","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.412959281427508","0.5900220187219442","0.1907354557394592","0.19628393650491122","125","175"
"63","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.2890702733257394","0.7072934992449039","0.12469139497535078","0.13349638183771975","94","206"
"65","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.30140111164127337","0.6960692771537677","0.14740297073242514","0.1533924764827068","88","212"
"66","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.41079919264827147","0.5849123991508782","0.1885539968060203","0.1865084853239986","117","183"
"67","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.3510423858096075","0.657247614485126","0.17565342966321235","0.16242779980977026","110","190"
"68","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.2858634617736881","0.7256720745163499","0.1302728060064377","0.11242807301887069","81","219"
"69","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.5108472956503399","0.5002002833223835","0.20945211808044722","0.21304551110288666","157","143"
"70","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.6748520820829411","0.31277927672459926","0.17638722621895406","0.1498688204754991","195","105"
"71","0.5","true","5","0","false","5","0.5","KE","true","false","7.0E-5","0","74","0.9","300","5","0.5","2000","0.4765032240074879","0.5320641557448075","0.2220712116857146","0.22419755936580085","148","152"
