"BehaviorSpace results (NetLogo 6.0.4)"
"affordance-landscape.nlogo"
"Copenhagen timeseries batch"
"07/31/2019 13:52:15:321 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","networks","initial-pro","construct-non","mutate-on?","network-param","initial-non","network-type","niche-construction","random-seed?","social-learning","rseed","asocial-learning","mu","number-of-agents","construct-pro","pro-amount","[step]","pro-behavior","non-behavior","mean [pro-env] of turtles","mean [non-env] of turtles"
"63","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.2","0.4","17885","69","231","0.2513445108472167","0.8548912159030245"
"64","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.2","0.4","17885","68","232","0.22007987928398165","0.8035519486060019"
"68","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.2","0.4","17885","58","242","0.20311775782074307","0.8010860505528344"
"65","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.2","0.4","17885","82","218","0.2963933030033941","0.7932237826561601"
"66","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.2","0.4","17885","54","246","0.1974069084204422","0.7806199706423008"
"67","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.2","0.4","17885","46","254","0.2017450819353239","0.7992358157095031"
"69","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.2","0.4","17885","46","254","0.1979912478166152","0.7902680998776481"
"70","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.2","0.4","17885","47","253","0.2001149978360137","0.7980707030266301"
"71","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.2","0.4","17885","48","252","0.19849909510243735","0.7749384677607064"
"72","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.2","0.4","17885","59","241","0.202265464736729","0.8043576238569927"
"73","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.2","0.4","17885","60","240","0.21700131139041479","0.7864551924717792"
"74","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.2","0.4","17885","95","205","0.4390392645753468","0.8008203301671106"
"75","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.2","0.4","17885","52","248","0.19603701929867978","0.7902442426471951"
"77","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.2","0.4","17885","45","255","0.19570988036528103","0.7807009367383438"
"76","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.2","0.4","17885","61","239","0.22729132599760174","0.7598992330148482"
"78","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.2","0.4","17885","41","259","0.19874105427725355","0.8042044054562172"
"80","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.2","0.4","17885","59","241","0.23325752693736865","0.8006014179898719"
"79","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.2","0.4","17885","67","233","0.20828257267617228","0.7832812353690258"
"81","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.2","0.4","17885","65","235","0.23531798104961704","0.7154834288360103"
"82","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.2","0.4","17885","42","258","0.1985910767602898","0.8050778192528247"
"83","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.2","0.4","17885","60","240","0.20316030794981144","0.798427166007248"
"84","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.2","0.4","17885","49","251","0.19928360742920995","0.7353381084871006"
"86","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.2","0.4","17885","51","249","0.2212110907632102","0.8003268255639698"
"85","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.2","0.4","17885","62","238","0.2006715977246375","0.7092408299364551"
"88","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.2","0.4","17885","59","241","0.24931863369623447","0.7999812018006758"
"87","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.2","0.4","17885","76","224","0.3193367166435597","0.7936896440722356"
"89","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.2","0.4","17885","56","244","0.20510064704004813","0.7716149549021032"
"90","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.2","0.4","17885","59","241","0.20220414689528218","0.799675128072702"
"91","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.3","0.4","17885","48","252","0.19765473458161853","0.7740752680917427"
"92","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.3","0.4","17885","55","245","0.2285366774570817","0.7893835712647987"
"93","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.3","0.4","17885","65","235","0.2352699138564508","0.796911914854586"
"94","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.3","0.4","17885","52","248","0.21414382678455202","0.7932540912765167"
"97","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.3","0.4","17885","56","244","0.2175425264894736","0.7391228904869952"
"95","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.3","0.4","17885","52","248","0.20514860430473217","0.792944641881425"
"96","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.3","0.4","17885","46","254","0.19966679946775354","0.8031355004820874"
"99","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.3","0.4","17885","42","258","0.203783295484398","0.7575723160693202"
"100","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.3","0.4","17885","70","230","0.28039257674132534","0.7576554655649629"
"98","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.3","0.4","17885","69","231","0.24549338945733132","0.8009150683038067"
"101","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.3","0.4","17885","54","246","0.19945662043210716","0.77574296949691"
"102","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.3","0.4","17885","66","234","0.20172565045298516","0.7515216161174898"
"103","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.3","0.4","17885","54","246","0.15097941437932424","0.7617691341275068"
"104","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.3","0.4","17885","72","228","0.263036488414114","0.7200841832683081"
"105","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.3","0.4","17885","57","243","0.22821747702625098","0.7988132543782444"
"106","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.3","0.4","17885","50","250","0.20171565577226283","0.7791000026101431"
"110","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.3","0.4","17885","84","216","0.29452516867883094","0.7190485678842539"
"107","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.3","0.4","17885","61","239","0.2020212844036319","0.7974494596466195"
"108","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.3","0.4","17885","55","245","0.19951630428573042","0.8011398469246778"
"109","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.3","0.4","17885","42","258","0.21286834854253778","0.802713912486317"
"111","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.3","0.4","17885","47","253","0.19842669331401197","0.8020729203699627"
"113","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.3","0.4","17885","49","251","0.20709516361390237","0.7966669177416078"
"112","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.3","0.4","17885","58","242","0.20229077686028069","0.7840256438957935"
"114","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.3","0.4","17885","46","254","0.2004125629104324","0.7764682761340209"
"115","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.3","0.4","17885","59","241","0.20468416446219584","0.7966259074597437"
"116","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.3","0.4","17885","61","239","0.19743265394103177","0.8034187950295533"
"117","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.3","0.4","17885","61","239","0.21730609788009625","0.7460154207655275"
"118","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.3","0.4","17885","59","241","0.19886112453114213","0.726178359496371"
"119","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.3","0.4","17885","47","253","0.1949724583156681","0.7687391095913173"
"120","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.3","0.4","17885","59","241","0.2523471780698742","0.7979468806628187"
"123","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.4","0.4","17885","60","240","0.20337463985303283","0.748136011904771"
"121","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.4","0.4","17885","62","238","0.21212313219272505","0.8004608690327156"
"122","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.4","0.4","17885","46","254","0.2376156561993522","0.7604980128228912"
"124","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.4","0.4","17885","51","249","0.19482270648612032","0.7548587360220158"
"125","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.4","0.4","17885","60","240","0.25328221356282093","0.7973690379237093"
"127","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.4","0.4","17885","62","238","0.254167679542536","0.7787934652238119"
"126","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.4","0.4","17885","49","251","0.20422772757501637","0.7929366619828463"
"131","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.4","0.4","17885","56","244","0.2474184923962487","0.76953157970847"
"128","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.4","0.4","17885","65","235","0.20289004278161316","0.8013442179438106"
"129","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.4","0.4","17885","67","233","0.21943144129727424","0.7393019832945252"
"130","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.4","0.4","17885","59","241","0.19973011821340558","0.7735711551391891"
"132","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.4","0.4","17885","70","230","0.26990804399396134","0.7582907434492918"
"133","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.4","0.4","17885","77","223","0.2741711333626975","0.7595913705475466"
"136","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.4","0.4","17885","73","227","0.20180625978840674","0.6769806050349909"
"134","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.4","0.4","17885","62","238","0.227681444209497","0.7969802924115382"
"135","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.4","0.4","17885","50","250","0.19958334837233102","0.7992645041578229"
"140","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.4","0.4","17885","64","236","0.29922257647104306","0.7991087949336679"
"137","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.4","0.4","17885","62","238","0.2375015584345889","0.7962171795765329"
"138","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.4","0.4","17885","61","239","0.20283558417321257","0.797294917968188"
"139","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.4","0.4","17885","60","240","0.2199353196789908","0.7510485978530895"
"141","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.4","0.4","17885","64","236","0.20073059397250959","0.6616202750757161"
"142","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.4","0.4","17885","46","254","0.19985516021856933","0.8022634124358407"
"144","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.4","0.4","17885","55","245","0.27111394835325453","0.7843567629620781"
"143","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.4","0.4","17885","58","242","0.23301949663828717","0.8045297769378906"
"145","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.4","0.4","17885","101","199","0.4396896935177268","0.7897957162901664"
"146","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.4","0.4","17885","76","224","0.23630120719588688","0.7460483437124992"
"147","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.4","0.4","17885","73","227","0.23842713874851726","0.8018640518145463"
"148","true","0.2","0","true","5","0.8","KE","true","false","7.0E-5","74","5.0E-5","0.9","300","1.4","0.4","17885","47","253","0.20398887746260616","0.7989003615151237"
